,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,1-ene,"7,00",7,7,,,,,1-feb,"3,00",2,0,,,,,1-mar,"3,00",1,0,,,,,1-abr,"6,00",1,2,,,,,1-may,"1,00",7,2,,,,,1-jun,"4,00",4,3,,,,,1-jul,"6,00",5,4,,,,,1-ago,"2,00",4,7,,,,,1-sept,"5,00",0,0,,,,,1-oct,"7,00",5,4,,,,,1-nov,"3,00",5,11,3,,,,1-dic,"5,00",3,9,2,2,,,,,,,,,
,2-ene,"1,00",7,0,,,,,2-feb,"4,00",1,0,,,,,2-mar,"4,00",2,0,,,,,2-abr,"7,00",13,12,,,,,2-may,"2,00",1,0,,,,,2-jun,"5,00",6,0,,,,,2-jul,"7,00",10,15,,,,,2-ago,"3,00",8,6,,,,,2-sept,"6,00",0,0,,,,,2-oct,"1,00",1,0,,,,,2-nov,"4,00",0,0,2,,,,2-dic,"6,00",4,2,4,6,,,,,,,,,
,3-ene,"2,00",2,2,,,,,3-feb,"5,00",3,0,,,,,3-mar,"5,00",3,0,,,,,3-abr,"1,00",2,0,,,,,3-may,"3,00",6,0,,,,,3-jun,"6,00",8,3,,,,,3-jul,"1,00",6,3,,,,,3-ago,"4,00",6,5,,,,,3-sept,"7,00",0,10,,,,,3-oct,"2,00",0,0,,,,,3-nov,"5,00",0,1,1,,,,3-dic,"7,00",4,3,4,1,,,,,,,,,
,4-ene,"3,00",13,14,,,,,4-feb,"6,00",7,8,,,,,4-mar,"6,00",5,4,,,,,4-abr,"2,00",3,0,,,,,4-may,"4,00",5,0,,,,,4-jun,"7,00",7,4,,,,,4-jul,"2,00",6,2,,,,,4-ago,"5,00",8,3,,,,,4-sept,"1,00",6,2,,,,,4-oct,"3,00",0,0,,,,,4-nov,"6,00",3,7,3,,,,4-dic,"1,00",5,2,2,4,,,,,,,,,
,5-ene,"4,00",3,2,,,,,5-feb,"7,00",9,6,,,,,5-mar,"7,00",6,0,,,,,5-abr,"3,00",2,2,,,,,5-may,"5,00",4,0,,,,,5-jun,"1,00",3,2,,,,,5-jul,"3,00",3,0,,,,,5-ago,"6,00",7,2,,,,,5-sept,"2,00",0,0,,,,,5-oct,"4,00",0,0,,,,,5-nov,"7,00",7,3,1,,,,5-dic,"2,00",6,1,1,4,,,,,,,,,
,6-ene,"5,00",7,4,,,,,6-feb,"1,00",3,2,,,,,6-mar,"1,00",4,4,,,,,6-abr,"4,00",6,6,,,,,6-may,"6,00",3,0,,,,,6-jun,"2,00",1,0,,,,,6-jul,"4,00",11,1,,,,,6-ago,"7,00",8,2,,,,,6-sept,"3,00",3,0,,,,,6-oct,"5,00",0,0,,,,,6-nov,"1,00",2,0,2,,,,6-dic,"3,00",4,0,5,7,,,,,,,,,
,7-ene,"6,00",3,0,,,,,7-feb,"2,00",3,0,,,,,7-mar,"2,00",2,1,,,,,7-abr,"5,00",3,1,,,,,7-may,"7,00",11,0,,,,,7-jun,"3,00",3,9,,,,,7-jul,"5,00",3,0,,,,,7-ago,"1,00",11,1,,,,,7-sept,"4,00",4,4,,,,,7-oct,"6,00",1,4,,,,,7-nov,"2,00",1,4,1,,,,7-dic,"4,00",6,0,3,2,,,,,,,,,
,8-ene,"7,00",7,7,,,,,8-feb,"3,00",8,0,,,,,8-mar,"3,00",3,1,,,,,8-abr,"6,00",3,0,,,,,8-may,"1,00",6,8,,,,,8-jun,"4,00",3,7,,,,,8-jul,"6,00",7,8,,,,,8-ago,"2,00",12,3,,,,,8-sept,"5,00",1,6,,,,,8-oct,"7,00",6,3,,,,,8-nov,"3,00",2,0,1,,,,8-dic,"5,00",3,0,2,1,,,,,,,,,
,9-ene,"1,00",4,6,,,,,9-feb,"4,00",6,0,,,,,9-mar,"4,00",5,6,,,,,9-abr,"7,00",7,0,,,,,9-may,"2,00",3,10,,,,,9-jun,"5,00",2,7,,,,,9-jul,"7,00",8,1,,,,,9-ago,"3,00",5,5,,,,,9-sept,"6,00",3,0,,,,,9-oct,"1,00",7,0,,,,,9-nov,"4,00",5,2,4,,,,9-dic,"6,00",3,0,3,3,,,,,,,,,
,10-ene,"2,00",2,3,,,,,10-feb,"5,00",7,0,,,,,10-mar,"5,00",2,0,,,,,10-abr,"1,00",8,0,,,,,10-may,"3,00",9,6,,,,,10-jun,"6,00",6,2,,,,,10-jul,"1,00",7,3,,,,,10-ago,"4,00",11,4,,,,,10-sept,"7,00",11,11,,,,,10-oct,"2,00",0,0,,,,,10-nov,"5,00",0,7,0,,,,10-dic,"7,00",2,12,2,4,,,,,,,,,
