BIRRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,,,,,,,
,1-ene,"1,00",2,1,0,0,,,1-feb,"4,00",0,0,0,0,,,1-mar,"4,00",2,0,1,8,,,1-abr,"7,00",4,14,1,4,,,1-may,"2,00",9,2,7,5,,,1-jun,"5,00",2,0,2,6,,,1-jul,"7,00",9,6,5,8,,,1-ago,"3,00",3,1,2,5,,,1-sept,"6,00",2,3,2,3,,,1-oct,"1,00",8,4,5,3,,,1-nov,"4,00",4,4,1,2,,,1-dic,"6,00",6,4,4,1,,,,,,,,,,,,,,,
,2-ene,"2,00",3,4,0,1,,,2-feb,"5,00",0,0,0,1,,,2-mar,"5,00",2,5,0,7,,,2-abr,"1,00",7,1,2,3,,,2-may,"3,00",9,5,8,4,,,2-jun,"6,00",10,12,1,5,,,2-jul,"1,00",5,5,1,1,,,2-ago,"4,00",6,4,1,9,,,2-sept,"7,00",9,7,6,8,,,2-oct,"2,00",2,0,0,4,,,2-nov,"5,00",2,0,0,0,,,2-dic,"7,00",8,6,1,2,,,,,,,,,,,,,,,
,3-ene,"3,00",6,4,0,3,,,3-feb,"6,00",4,4,0,2,,,3-mar,"6,00",4,2,17,6,,,3-abr,"2,00",2,0,0,3,,,3-may,"4,00",9,0,2,5,,,3-jun,"7,00",5,15,3,5,,,3-jul,"2,00",0,0,1,0,,,3-ago,"5,00",3,1,1,8,,,3-sept,"1,00",1,4,0,1,,,3-oct,"3,00",2,0,3,0,,,3-nov,"6,00",6,4,3,4,,,3-dic,"1,00",9,5,4,5,,,,,,,,,,,,,,,
,4-ene,"4,00",3,4,0,3,,,4-feb,"7,00",4,10,1,2,,,4-mar,"7,00",5,1,8,6,,,4-abr,"3,00",2,0,1,5,,,4-may,"5,00",10,0,7,9,,,4-jun,"1,00",9,2,3,0,,,4-jul,"3,00",3,4,3,3,,,4-ago,"6,00",2,4,7,8,,,4-sept,"2,00",1,5,0,0,,,4-oct,"4,00",2,7,3,2,,,4-nov,"7,00",6,0,3,0,,,4-dic,"2,00",3,0,0,0,,,,,,,,,,,,,,,
,5-ene,"5,00",2,3,0,5,,,5-feb,"1,00",3,1,1,3,,,5-mar,"1,00",6,0,1,0,,,5-abr,"4,00",2,3,2,7,,,5-may,"6,00",9,1,4,7,,,5-jun,"2,00",0,4,0,0,,,5-jul,"4,00",1,2,0,2,,,5-ago,"7,00",5,12,13,5,,,5-sept,"3,00",1,10,0,1,,,5-oct,"5,00",6,8,1,0,,,5-nov,"1,00",5,0,1,2,,,5-dic,"3,00",5,0,0,1,,,,,,,,,,,,,,,
,6-ene,"6,00",3,3,0,2,,,6-feb,"2,00",0,0,0,0,,,6-mar,"2,00",0,8,0,2,,,6-abr,"5,00",4,2,4,3,,,6-may,"7,00",14,3,8,7,,,6-jun,"3,00",1,4,4,2,,,6-jul,"5,00",1,5,1,2,,,6-ago,"1,00",4,0,0,3,,,6-sept,"4,00",1,8,0,3,,,6-oct,"6,00",2,9,2,1,,,6-nov,"2,00",1,0,0,0,,,6-dic,"4,00",4,0,4,3,,,,,,,,,,,,,,,
,7-ene,"7,00",5,4,1,8,,,7-feb,"3,00",2,0,0,0,,,7-mar,"3,00",0,3,3,0,,,7-abr,"6,00",6,0,2,1,,,7-may,"1,00",0,0,0,0,,,7-jun,"4,00",0,2,0,6,,,7-jul,"6,00",5,4,0,3,,,7-ago,"2,00",4,2,0,9,,,7-sept,"5,00",3,3,2,1,,,7-oct,"7,00",8,9,3,15,,,7-nov,"3,00",4,0,0,4,,,7-dic,"5,00",5,2,0,2,,,,,,,,,,,,,,,
,8-ene,"1,00",0,0,0,2,,,8-feb,"4,00",2,3,0,1,,,8-mar,"4,00",1,0,0,2,,,8-abr,"7,00",4,4,2,8,,,8-may,"2,00",1,0,0,2,,,8-jun,"5,00",0,8,2,8,,,8-jul,"7,00",7,10,2,8,,,8-ago,"3,00",6,0,1,5,,,8-sept,"6,00",3,6,2,5,,,8-oct,"1,00",6,0,0,0,,,8-nov,"4,00",5,4,3,8,,,8-dic,"6,00",10,4,1,4,,,,,,,,,,,,,,,
,9-ene,"2,00",1,0,0,0,,,9-feb,"5,00",5,0,0,4,,,9-mar,"5,00",2,2,0,1,,,9-abr,"1,00",5,8,1,2,,,9-may,"3,00",2,6,0,4,,,9-jun,"6,00",7,1,4,5,,,9-jul,"1,00",0,0,3,0,,,9-ago,"4,00",2,0,2,0,,,9-sept,"7,00",8,18,7,7,,,9-oct,"2,00",2,0,0,0,,,9-nov,"5,00",9,0,0,2,,,9-dic,"7,00",5,2,3,1,,,,,,,,,,,,,,,
,10-ene,"3,00",0,0,0,0,,,10-feb,"6,00",3,2,1,2,,,10-mar,"6,00",4,3,1,5,,,10-abr,"2,00",0,0,0,0,,,10-may,"4,00",2,0,1,2,,,10-jun,"7,00",10,3,1,2,,,10-jul,"2,00",1,3,0,4,,,10-ago,"5,00",6,4,5,10,,,10-sept,"1,00",8,5,0,8,,,10-oct,"3,00",1,0,0,0,,,10-nov,"6,00",8,3,1,1,,,10-dic,"1,00",6,4,1,3,,,,,,,,,,,,,,,
