,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,1-ene,"2,00",4,1,2,0,3,,1-feb,"5,00",0,0,3,4,0,,1-mar,"6,00",6,9,1,0,1,,1-abr,"2,00",5,4,2,0,5,,1-may,"4,00",12,0,8,0,8,,1-jun,"7,00",10,11,8,5,14,,1-jul,"2,00",0,0,0,1,3,,1-ago,"5,00",7,7,0,4,5,,1-sept,"1,00",2,4,1,1,4,,1-oct,"3,00",0,0,0,0,2,,1-nov,"6,00",8,3,1,3,3,,1-dic,"1,00",9,3,0,6,2,,,,,,,,
,2-ene,"3,00",5,3,0,1,1,,2-feb,"6,00",5,3,5,0,5,,2-mar,"7,00",8,11,2,1,3,,2-abr,"3,00",2,0,0,0,2,,2-may,"5,00",6,0,0,7,0,,2-jun,"1,00",5,4,1,0,0,,2-jul,"3,00",0,0,3,2,4,,2-ago,"6,00",5,8,0,2,4,,2-sept,"2,00",2,0,2,0,4,,2-oct,"4,00",0,2,0,1,1,,2-nov,"7,00",6,4,4,6,3,,2-dic,"2,00",7,0,6,6,6,,,,,,,,
,3-ene,"4,00",8,0,1,3,1,,3-feb,"7,00",4,4,5,0,4,,3-mar,"1,00",12,10,2,1,4,,3-abr,"4,00",5,1,0,1,2,,3-may,"6,00",6,0,0,0,0,,3-jun,"2,00",7,1,5,0,6,,3-jul,"4,00",8,0,5,4,1,,3-ago,"7,00",8,2,0,5,4,,3-sept,"3,00",2,0,1,0,6,,3-oct,"5,00",3,4,0,3,10,,3-nov,"1,00",2,4,0,0,4,,3-dic,"3,00",0,0,1,0,3,,,,,,,,
,4-ene,"5,00",9,6,3,1,0,,4-feb,"1,00",3,6,2,0,2,,4-mar,"2,00",3,2,0,0,2,,4-abr,"5,00",3,4,0,5,2,,4-may,"7,00",11,6,2,7,4,,4-jun,"3,00",3,2,0,2,4,,4-jul,"5,00",5,0,2,0,8,,4-ago,"1,00",8,1,0,1,4,,4-sept,"4,00",2,0,2,3,2,,4-oct,"6,00",2,4,0,2,2,,4-nov,"2,00",7,0,6,0,7,,4-dic,"4,00",0,3,1,1,3,,,,,,,,
,5-ene,"6,00",7,3,0,4,1,,5-feb,"2,00",4,0,0,0,2,,5-mar,"3,00",3,0,0,0,3,,5-abr,"6,00",4,4,1,8,4,,5-may,"1,00",8,5,1,0,5,,5-jun,"4,00",2,3,1,3,2,,5-jul,"6,00",8,6,3,7,3,,5-ago,"2,00",8,2,0,4,5,,5-sept,"5,00",2,2,3,0,4,,5-oct,"7,00",5,4,0,3,3,,5-nov,"3,00",0,2,0,0,3,,5-dic,"5,00",2,3,2,4,5,,,,,,,,
,6-ene,"7,00",7,0,1,1,7,,6-feb,"3,00",3,0,0,0,0,,6-mar,"4,00",5,3,3,0,3,,6-abr,"7,00",7,6,3,5,2,,6-may,"2,00",7,0,6,2,8,,6-jun,"5,00",10,0,3,1,6,,6-jul,"7,00",16,4,3,5,6,,6-ago,"3,00",10,6,0,3,6,,6-sept,"6,00",4,8,2,1,4,,6-oct,"1,00",4,0,0,0,5,,6-nov,"4,00",0,2,0,1,3,,6-dic,"6,00",4,5,5,6,4,,,,,,,,
,7-ene,"1,00",6,0,1,2,1,,7-feb,"4,00",5,2,3,0,3,,7-mar,"5,00",5,2,2,0,3,,7-abr,"1,00",6,0,4,0,5,,7-may,"3,00",3,5,0,1,2,,7-jun,"6,00",7,7,1,2,0,,7-jul,"1,00",11,3,0,4,3,,7-ago,"4,00",6,4,0,3,3,,7-sept,"7,00",10,6,2,0,5,,7-oct,"2,00",0,0,0,0,3,,7-nov,"5,00",0,2,0,2,3,,7-dic,"7,00",4,4,2,1,2,,,,,,,,
,8-ene,"2,00",0,0,0,0,0,,8-feb,"5,00",5,4,2,2,4,,8-mar,"6,00",5,3,2,0,6,,8-abr,"2,00",5,0,3,0,4,,8-may,"4,00",7,5,5,0,6,,8-jun,"7,00",4,2,2,3,4,,8-jul,"2,00",4,1,0,0,5,,8-ago,"5,00",8,0,0,8,3,,8-sept,"1,00",7,2,1,5,3,,8-oct,"3,00",0,0,2,3,3,,8-nov,"6,00",8,3,8,8,3,,8-dic,"1,00",3,1,5,5,7,,,,,,,,
,9-ene,"3,00",0,0,0,0,1,,9-feb,"6,00",6,6,1,2,1,,9-mar,"7,00",9,8,3,1,0,,9-abr,"3,00",6,3,3,5,6,,9-may,"5,00",2,0,0,0,10,,9-jun,"1,00",1,0,2,0,5,,9-jul,"3,00",5,9,2,2,4,,9-ago,"6,00",9,6,0,7,4,,9-sept,"2,00",0,0,5,0,2,,9-oct,"4,00",0,2,4,0,4,,9-nov,"7,00",9,5,9,4,7,,9-dic,"2,00",2,0,6,0,0,,,,,,,,
,10-ene,"4,00",0,4,0,0,1,,10-feb,"7,00",7,7,3,0,4,,10-mar,"1,00",4,4,0,0,5,,10-abr,"4,00",3,0,0,0,1,,10-may,"6,00",13,0,4,8,7,,10-jun,"2,00",3,5,0,0,0,,10-jul,"4,00",8,2,3,1,8,,10-ago,"7,00",9,5,0,3,4,,10-sept,"3,00",4,2,0,0,5,,10-oct,"5,00",4,5,0,5,8,,10-nov,"1,00",3,4,1,0,2,,10-dic,"3,00",0,3,0,0,4,,,,,,,,
